1;Контрагент со своими расчетными счетами
2;Контрагент без сових расчетных счетов
3;Контрагенты обобщенные
4;Контрагент СНГ
5;Контрагент зарубежный
6;Налоговая инспекция
7;Посредник УФК
8;Посредник банк
