01;Отгрузка, приобретение
02;Оплата, частичная оплата
03;Возврат товаров
04;Комиссия приобретение
05;Коммисия оплата
06;Налоговый агент 161
07;Операции ст. 146.1.2
08;Операции ст. 146.1.3
09;Получение сумм ст. 162
10;Безвозмездные передачи
11;Отгрузка ст. 154 п 3 п 4 п 5.1 ст 155 п 1-4
12;Оплата ст. 154 п 3 п 4 п 5.1 ст 155 п 1-4
13;Строительно монтажные работы 
